High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3,CLASS
815,815,815,148600,815,815,815,815,815,815,815,SELL
820,810,815,1004600,815,820,825,830,810,805,800,BUY
815,805,815,1482600,811.66666666667,818.33333333333,821.66666666667,828.33333333333,808.33333333333,801.66666666667,798.33333333333,HOLD
810,805,810,85200,808.33333333333,811.66666666667,813.33333333333,816.66666666667,806.66666666667,803.33333333333,801.66666666667,BUY
810,805,805,2105800,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,SELL
810,805,805,41600,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,SELL
810,805,805,28000,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,HOLD
810,805,805,45000,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,BUY
810,805,805,1010400,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,HOLD
815,805,805,516800,808.33333333333,811.66666666667,818.33333333333,821.66666666667,801.66666666667,798.33333333333,791.66666666667,HOLD
810,805,810,1113600,808.33333333333,811.66666666667,813.33333333333,816.66666666667,806.66666666667,803.33333333333,801.66666666667,HOLD
805,800,800,229400,801.66666666667,803.33333333333,806.66666666667,808.33333333333,798.33333333333,796.66666666667,793.33333333333,SELL
805,800,800,143000,801.66666666667,803.33333333333,806.66666666667,808.33333333333,798.33333333333,796.66666666667,793.33333333333,SELL
805,800,800,18800,801.66666666667,803.33333333333,806.66666666667,808.33333333333,798.33333333333,796.66666666667,793.33333333333,HOLD
805,800,800,433600,801.66666666667,803.33333333333,806.66666666667,808.33333333333,798.33333333333,796.66666666667,793.33333333333,SELL
810,800,805,772400,805,810,815,820,800,795,790,HOLD
810,805,805,23200,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,SELL
805,805,805,234600,805,805,805,805,805,805,805,BUY
805,800,805,177400,803.33333333333,806.66666666667,808.33333333333,811.66666666667,801.66666666667,798.33333333333,796.66666666667,BUY
810,805,805,173800,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,HOLD
810,800,805,1241400,805,810,815,820,800,795,790,BUY
805,800,805,661400,803.33333333333,806.66666666667,808.33333333333,811.66666666667,801.66666666667,798.33333333333,796.66666666667,HOLD
805,805,805,102800,805,805,805,805,805,805,805,SELL
805,805,805,291600,805,805,805,805,805,805,805,HOLD
810,805,805,265000,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,HOLD
805,800,800,133600,801.66666666667,803.33333333333,806.66666666667,808.33333333333,798.33333333333,796.66666666667,793.33333333333,HOLD
810,805,810,425400,808.33333333333,811.66666666667,813.33333333333,816.66666666667,806.66666666667,803.33333333333,801.66666666667,SELL
810,800,810,801200,806.66666666667,813.33333333333,816.66666666667,823.33333333333,803.33333333333,796.66666666667,793.33333333333,SELL
810,800,800,1465600,803.33333333333,806.66666666667,813.33333333333,816.66666666667,796.66666666667,793.33333333333,786.66666666667,HOLD
805,805,805,842000,805,805,805,805,805,805,805,HOLD
805,805,805,37800,805,805,805,805,805,805,805,BUY
810,805,805,50200,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,BUY
805,805,805,150600,805,805,805,805,805,805,805,BUY
810,805,805,61200,806.66666666667,808.33333333333,811.66666666667,813.33333333333,803.33333333333,801.66666666667,798.33333333333,SELL
815,810,810,330600,811.66666666667,813.33333333333,816.66666666667,818.33333333333,808.33333333333,806.66666666667,803.33333333333,HOLD
820,810,810,546300,813.33333333333,816.66666666667,823.33333333333,826.66666666667,806.66666666667,803.33333333333,796.66666666667,BUY
820,810,820,454300,816.66666666667,823.33333333333,826.66666666667,833.33333333333,813.33333333333,806.66666666667,803.33333333333,HOLD
820,815,820,726000,818.33333333333,821.66666666667,823.33333333333,826.66666666667,816.66666666667,813.33333333333,811.66666666667,BUY
815,810,815,172800,813.33333333333,816.66666666667,818.33333333333,821.66666666667,811.66666666667,808.33333333333,806.66666666667,SELL
810,810,810,125800,810,810,810,810,810,810,810,SELL
815,805,810,571300,810,815,820,825,805,800,795,HOLD
815,810,810,25700,811.66666666667,813.33333333333,816.66666666667,818.33333333333,808.33333333333,806.66666666667,803.33333333333,SELL
810,810,810,116600,810,810,810,810,810,810,810,HOLD
815,810,810,62500,811.66666666667,813.33333333333,816.66666666667,818.33333333333,808.33333333333,806.66666666667,803.33333333333,BUY
815,805,810,217600,810,815,820,825,805,800,795,HOLD
815,805,810,302600,810,815,820,825,805,800,795,BUY
810,805,810,570000,808.33333333333,811.66666666667,813.33333333333,816.66666666667,806.66666666667,803.33333333333,801.66666666667,HOLD
815,805,805,256200,808.33333333333,811.66666666667,818.33333333333,821.66666666667,801.66666666667,798.33333333333,791.66666666667,HOLD
810,805,810,1326000,808.33333333333,811.66666666667,813.33333333333,816.66666666667,806.66666666667,803.33333333333,801.66666666667,SELL
810,800,805,631100,805,810,815,820,800,795,790,HOLD
810,795,805,2502900,803.33333333333,811.66666666667,818.33333333333,826.66666666667,796.66666666667,788.33333333333,781.66666666667,HOLD
830,830,830,200,830,830,830,830,830,830,830,SELL
840,830,830,2149000,833.33333333333,836.66666666667,843.33333333333,846.66666666667,826.66666666667,823.33333333333,816.66666666667,HOLD
840,835,835,1218200,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,SELL
840,835,840,992000,838.33333333333,841.66666666667,843.33333333333,846.66666666667,836.66666666667,833.33333333333,831.66666666667,SELL
840,835,835,96600,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,BUY
840,835,835,50000,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,HOLD
840,835,835,269000,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,BUY
840,835,835,145000,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,SELL
840,835,835,305200,836.66666666667,838.33333333333,841.66666666667,843.33333333333,833.33333333333,831.66666666667,828.33333333333,BUY
840,840,840,138800,840,840,840,840,840,840,840,SELL
840,840,840,155800,840,840,840,840,840,840,840,SELL
845,840,845,147600,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,HOLD
840,840,840,84000,840,840,840,840,840,840,840,BUY
840,840,840,80400,840,840,840,840,840,840,840,BUY
840,840,840,97800,840,840,840,840,840,840,840,SELL
845,840,840,185200,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,840,840,152200,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,840,840,139400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,840,840,106400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,840,840,273600,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,HOLD
840,840,840,175400,840,840,840,840,840,840,840,HOLD
840,840,840,94000,840,840,840,840,840,840,840,BUY
840,840,840,70200,840,840,840,840,840,840,840,HOLD
840,840,840,109800,840,840,840,840,840,840,840,BUY
840,840,840,107600,840,840,840,840,840,840,840,SELL
840,840,840,71400,840,840,840,840,840,840,840,BUY
845,840,840,226400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,HOLD
850,845,850,81200,848.33333333333,851.66666666667,853.33333333333,856.66666666667,846.66666666667,843.33333333333,841.66666666667,BUY
845,845,845,40000,845,845,845,845,845,845,845,SELL
850,840,845,920000,845,850,855,860,840,835,830,HOLD
845,840,840,96400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,SELL
845,840,840,131800,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
840,840,840,55000,840,840,840,840,840,840,840,BUY
845,840,845,112800,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,BUY
840,840,840,22200,840,840,840,840,840,840,840,SELL
840,840,840,54400,840,840,840,840,840,840,840,BUY
845,840,845,31600,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,BUY
845,840,840,26400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,HOLD
845,840,845,10200,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,HOLD
845,840,845,4800,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,BUY
845,840,840,321600,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,845,845,894000,845,845,845,845,845,845,845,BUY
845,840,845,38800,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,HOLD
845,840,845,28600,843.33333333333,846.66666666667,848.33333333333,851.66666666667,841.66666666667,838.33333333333,836.66666666667,HOLD
845,840,840,72200,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,BUY
845,840,840,28000,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,SELL
845,840,840,34400,841.66666666667,843.33333333333,846.66666666667,848.33333333333,838.33333333333,836.66666666667,833.33333333333,HOLD
